#Created using genes_of_rxns.pl on Monday, October 23rd, 2023.
Reaction ID	gene
RXN0-7083	b3706
RXN-12473	b1757
RXN0-1281	b4049
RXN0-1281	b3260
RXN0-1281	b2140
RXN-17363	b0657
NMNAMIDOHYDRO-RXN	b2700
RXN0-7165	b1584
ASPDECARBOX-RXN	b0131
RXN-9659	b1288
RXN0-1862	b2255
RXN0-1141	b4386
RXN0-5098	b4386
OROPRIBTRANS-RXN	b3642
RXN0-7249	b0383
BRANCHED-CHAINAMINOTRANSFERILEU-RXN	b3770
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN	b3018
PDXJ-RXN	b2564
2.7.13.1-RXN	b3911
2.7.13.1-RXN	b0570
ACP-S-ACETYLTRANSFER-RXN	b1091
CHORISMATEMUT-RXN	b2599
CHORISMATEMUT-RXN	b2600
BIOTIN-CARBOXYL-RXN	b3256
RXN0-275	b2873
CITC-RXN	b0618
RXN-16003	b1539
RXN0-7344	b2057
CYSTATHIONINE-BETA-LYASE-RXN	b3008
CYSTATHIONINE-BETA-LYASE-RXN	b1622
RXN-10661	b1288
RXN0-308	b2530
RXN-16660	b0925
RXN-16660	b1678
PMPOXI-RXN	b1638
RXN-7716	b0116
RXN0-986	b2212
DARABISOM-RXN	b2802
RXN-9662	b1288
RXN0-3601	b0038
RXN0-20	b2828
RXN-16938	b2435
RXN-16938	b4169
RXN-16938	b2817
PROPIONATE--COA-LIGASE-RXN	b4069
PROPIONATE--COA-LIGASE-RXN	b0335
RXN0-7192	b3973
SHIKIMATE-5-DEHYDROGENASE-RXN	b3281
RXN0-745	b4238
DEPHOSPHOCOAKIN-RXN	b0103
UDPHYDROXYMYRGLUCOSAMNACETYLTRANS-RXN	b0179
RXN0-4222	b2268
RXN-17473	b0775
2OXOGLUTDECARB-RXN	b0726
PYRIDOXKIN-RXN	b2418
PYRIDOXKIN-RXN	b1636
CDPREDUCT-RXN	b2235
CDPREDUCT-RXN	b2234
SUCCSEMIALDDEHYDROG-RXN	b2661
DIHYDROFOLATEREDUCT-RXN	b0048
DIHYDROFOLATEREDUCT-RXN	b1606
GDPREDUCT-RXN	b2235
GDPREDUCT-RXN	b2234
RXN0-5038	b3032
RXN-17725	b0383
R170-RXN	b1109
RXN-11476	b1093
THIOESTER-RXN	b0494
RXN-15509	b0755
DSERDEAM-RXN	b2366
RXN0-5108	b2467
RXN-17785	b3846
RXN-17785	b2341
RXN-19774	b0657
RIBOPHOSPHAT-RXN	b0844
RIBOPHOSPHAT-RXN	b3812
ENTMULTI-RXN	b0595
ENTMULTI-RXN	b0583
ENTMULTI-RXN	b0586
ENTMULTI-RXN	b0594
RXN-9788	b0423
RXN-9788	b3992
RXN0-5146	b3431
RXN0-2144	b0180
RXN-17846	b0885
TRYPTOPHAN--TRNA-LIGASE-RXN	b3384
FORMYLTHFDEFORMYL-RXN	b1232
RXN0-748	b2676
RXN0-748	b2675
RXN0-5210	b2034
1.1.1.271-RXN	b2052
