#Created using genes_of_rxns.pl on Monday, October 23rd, 2023.
Reaction ID	gene
RXN0-6256	b2989
3.1.11.2-RXN	b1749
RXN-12445	b3844
GLYOXIII-RXN	b1967
GLYOXIII-RXN	b3153
RXN0-6444	b1012
RXN-20024	b0585
GTPPYPHOSKIN-RXN	b2784
RXN0-6485	b1084
RXN-20673	b3389
RXN-13142	b4167
HISTAMINOTRANS-RXN	b2021
HISTIDPHOS-RXN	b2022
HISTIDPHOS-RXN	b0383
3PGAREARR-RXN	b3612
RXN-20913	b0622
RXN-14014	b0031
IMIDPHOSDEHYD-RXN	b2022
5.4.2.10-RXN	b3176
RXN-21233	b2212
RXN-14126	b2744
RXN-14126	b4213
RXN-14126	b0383
KDO-8PSYNTH-RXN	b1215
RXN0-6725	b3821
ACETOOHBUTSYN-RXN	b0078
ACETOOHBUTSYN-RXN	b0077
ACETOOHBUTSYN-RXN	b3670
ACETOOHBUTSYN-RXN	b3671
ACETOOHBUTSYN-RXN	b3769
ACETOOHBUTSYN-RXN	b3767
RXN-2962	b0356
LCARNCOALIG-RXN	b0037
ADCLY-RXN	b1096
RXN-14394	b3845
RXN-14394	b2342
MALATE-DEHYDROGENASE-ACCEPTOR-RXN	b2210
RXN0-6994	b2901
AICARTRANSFORM-RXN	b4006
RXN-8348	b0827
RXN-14505	b0383
RXN-14505	b4055
METHENYLTHFCYCLOHYDRO-RXN	b0529
ALLOSE-KINASE-RXN	b4084
RXN-8999	b0174
RXN-14570	b1807
RXN-14570	b3064
RXN-14570	b4168
NACGLCTRANS-RXN	b0090
RXN0-7081	b2324
ARABISOM-RXN	b0062
RXN0-1241	b2330
NICOTINATEPRIBOSYLTRANS-RXN	b0931
RXN0-7160	b4093
RXN0-7160	b4012
RXN0-7160	b3550
RXN0-7160	b4373
RXN0-7160	b2584
ASPCARBTRANS-RXN	b4244
ASPCARBTRANS-RXN	b4245
RXN0-1861	b2255
ORNDECARBOX-RXN	b2965
ORNDECARBOX-RXN	b0693
BIS5-ADENOSYL-TRIPHOSPHATASE-RXN	b0480
RXN0-2281	b0503
PANTOTHENATE-KIN-RXN	b3974
RXN0-7298	b2104
CHORISMATE-SYNTHASE-RXN	b2329
PHENYLALANINE--TRNA-LIGASE-RXN	b1713
PHENYLALANINE--TRNA-LIGASE-RXN	b1714
RXN0-7343	b2055
CYCPHOSDIESTER-RXN	b4213
RXN0-305	b0508
RXN-16659	b0635
RXN-16659	b0084
RXN-16659	b0149
RXN-16659	b3396
PHOSPHOGLYCERATE-PHOSPHATASE-RXN	b0383
DARABALDOL-RXN	b2800
RXN0-3543	b1134
RXN0-3543	b0446
RXN-16937	b2311
PROLINE--TRNA-LIGASE-RXN	b0194
SERINE-O-ACETTRAN-RXN	b3607
DEOXYRIBOSE-P-ALD-RXN	b4381
RXN0-4181	b0315
RXN0-4181	b1489
RXN0-4181	b1285
RXN0-4181	b3525
RXN0-4181	b2503
RXN0-4181	b4061
RXN-17472	b0775
PYRIDOXINE-4-DEHYDROGENASE-RXN	b1406
SUCCORNTRANSAM-RXN	b1748
DIHYDRODIPICSYN-RXN	b2478
RXN-17724	b0383
THIKIN-RXN	b1106
DNA-LIGASE-NAD+-RXN	b3647
DNA-LIGASE-NAD+-RXN	b2411
RXN0-5107	b2251
RXN0-5107	b3248
RXN0-5116	b0063
RIBOKIN-RXN	b3752
ENTF-RXN	b0594
ENTF-RXN	b0586
ENTF-RXN	b0583
ENTF-RXN	b0595
RXN0-5144	b2324
RXN-17809	b0783
RXN-10819	b1398
TRYPSYN-RXN	b1260
TRYPSYN-RXN	b1261
FOLYLPOLYGLUTAMATESYNTH-RXN	b2315
RXN0-5209	b4129
1.1.1.264-RXN	b4267
UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN	b3189
GALACTURIDYLYLTRANS-RXN	b0758
RXN0-5240	b2551
2-METHYLCITRATE-SYNTHASE-RXN	b0333
RXN-11600	b0859
VAGL-RXN	b1302
VAGL-RXN	b2662
GLUC1PURIDYLTRANS-RXN	b1236
RXN0-5363	b0344
2.5.1.64-RXN	b2264
RXN-18999	b1309
RXN-11835	b4022
GLUTAMINESYN-RXN	b3870
RXN0-5418	b2474
2OXOGLUTARATEDEH-RXN	b0726
2OXOGLUTARATEDEH-RXN	b0727
2OXOGLUTARATEDEH-RXN	b0116
RXN-19338	b1270
RXN-12071	b2541
GLYCEROL-KIN-RXN	b3926
3.1.13.3-RXN	b4162
RXN-19777	b4602
RXN-19777	b4515
RXN-19777	b0734
RXN-19777	b0733
GMKALT-RXN	b3648
RXN0-6452	b1009
3.2.1.14-RXN	b3338
GUANOSINEKIN-RXN	b0477
HOMOCYSMET-RXN	b3829
4.1.2.28-RXN	b4298
4.1.2.28-RXN	b0268
RXN-20916	b0622
RXN-14026	b0383
INOPHOSPHOR-RXN	b4384
INOPHOSPHOR-RXN	b2407
INOPHOSPHOR-RXN	b0391
RXN0-6564	b0003
6-PHOSPHO-BETA-GLUCOSIDASE-RXN	b2716
6-PHOSPHO-BETA-GLUCOSIDASE-RXN	b3721
6-PHOSPHO-BETA-GLUCOSIDASE-RXN	b1734
RXN-21250	b0714
RXN-14142	b2744
RXN-14142	b0383
RXN0-6731	b3497
ACETYLGLUTKIN-RXN	b3959
RXN-14281	b0403
LEUCYLTRANSFERASE-RXN	b0885
ADENODEAMIN-RXN	b1623
RXN-7609	b3399
MALSYN-RXN	b4014
MALSYN-RXN	b2976
RXN0-7000	b2326
ALADEHYDCHLORO-RXN	b1919
RXN-14511	b0383
ALTRO-OXIDOREDUCT-RXN	b1521
RXN-9311	b1686
NAD-SYNTH-NH3-RXN	b1740
RXN0-7092	b2407
ARGININE--TRNA-LIGASE-RXN	b1876
RXN0-1342	b0405
RXN0-7167	b0921
ATP-PYROPHOSPHATASE-RXN	b0905
RXN-15210	b0815
OXALOACETATE-TAUTOMERASE-RXN	b1612
RXN0-7251	b0383
BRANCHED-CHAINAMINOTRANSFERVAL-RXN	b3770
RXN0-2381	b1260
RXN-15578	b3708
PEPCARBOXYKIN-RXN	b3403
RXN0-7313	b3070
RXN0-279	b2810
RXN0-279	b1680
RXN-16165	b2114
CYSTEINE-AMINOTRANSFERASE-RXN	b0928
RXN0-313	b0825
RXN0-313	b3946
RXN-16665	b0925
PNP-RXN	b4384
RXN1ZN3-10	b0778
DCDPKIN-RXN	b2518
DCDPKIN-RXN	b0474
RXN0-363	b0030
PROPKIN-RXN	b3115
PROPKIN-RXN	b2296
SIROHEME-FERROCHELAT-RXN	b3368
DGDPKIN-RXN	b2518
DGDPKIN-RXN	b0474
RXN-17490	b0980
PYRIMSYN3-RXN	b2103
SULFATE-ADENYLYLTRANS-RXN	b2751
SULFATE-ADENYLYLTRANS-RXN	b2752
RXN0-5040	b1338
RXN0-5040	b1337
RXN-17745	b0383
R4-RXN	b0605
R4-RXN	b0606
THREDEHYD-RXN	b3772
THREDEHYD-RXN	b3117
DTDPDEHYRHAMREDUCT-RXN	b2040
RXN-17787	b3845
RXN-17787	b2342
RIBOSYLNICOTINAMIDE-KINASE-RXN	b4390
ERYTH4PDEHYDROG-RXN	b2927
RXN0-5182	b3417
RXN-10940	b0980
TSA-REDUCT-RXN	b3125
FPPSYN-RXN	b0421
RXN0-5214	b4192
RXN-17955	b4095
RXN-11484	b0776
UGD-RXN	b2028
GAPOXNPHOSPHN-RXN	b1779
2-OCTAPRENYL-METHOXY-BENZOQ-METH-RXN	b3833
RXN-11633	b0051
XANPRIBOSYLTRAN-RXN	b0238
GLUCONATE-5-DEHYDROGENASE-RXN	b4266
RXN0-5387	b4211
2.7.1.121-RXN	b1200
2.7.1.121-RXN	b1199
2.7.1.121-RXN	b1198
RXN-19024	b1218
RXN-11838	b1086
GLUTATHIONE-SYN-RXN	b2947
3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-RXN	b0134
RXN-19362	b2352
RXN-12093	b0444
GLYCOGENSYN-RXN	b3429
RXN-19919	b1120
GMP-SYN-NH3-RXN	b2507
RXN0-6461	b1010
3.2.1.52-RXN	b1107
RXN-20154	b2224
RXN-20680	b1313
HOMOSERDEHYDROG-RXN	b0002
HOMOSERDEHYDROG-RXN	b3940
4.3.1.15-RXN	b2871
RXN-20927	b0231
INOSINE-NUCLEOSIDASE-RXN	b0030
RXN0-6575	b2777
7-ALPHA-HYDROXYSTEROID-DEH-RXN	b1619
RXN-21270	b2900
RXN-14161	b2291
RXN-14161	b0383
KETOACYLCOATHIOL-RXN	b3845
KETOACYLCOATHIOL-RXN	b2342
RXN0-6734	b4098
ACID-PHOSPHATASE-RXN	b4055
RXN-5647	b0383
RXN-14284	b3417
LTAA-RXN	b0870
ADENPHOSPHOR-RXN	b4384
ADENPHOSPHOR-RXN	b0391
RXN-7800	b0073
RXN-7800	b1800
RXN-14477	b0585
MALTODEXGLUCOSID-RXN	b0403
ALARACECAT-RXN	b1622
ALARACECAT-RXN	b3008
ALARACECAT-RXN	b4053
ALARACECAT-RXN	b1190
RXN-8642	b1136
RXN-14514	b0383
RXN0-2042	b1389
RXN0-2042	b1390
RXN0-2042	b1388
RXN0-2042	b1392
RXN0-7046	b0597
AMINEOXID-RXN	b1386
RXN0-7103	b1400
ARGSUCCINSYN-RXN	b3172
NUCLEOTIDE-PYROPHOSPHATASE-RXN	b2781
RXN0-7173	b0424
RXN0-7173	b3209
BADH-RXN	b0312
RXN0-2001	b2257
RXN-15293	b1905
CARBOXYLESTERASE-RXN	b3412
CARBOXYLESTERASE-RXN	b4190
RXN0-2584	b2580
RXN-15743	b0325
PEPTIDYLPROLYL-ISOMERASE-RXN	b3363
PEPTIDYLPROLYL-ISOMERASE-RXN	b3349
PEPTIDYLPROLYL-ISOMERASE-RXN	b4207
PEPTIDYLPROLYL-ISOMERASE-RXN	b0525
PEPTIDYLPROLYL-ISOMERASE-RXN	b3775
PEPTIDYLPROLYL-ISOMERASE-RXN	b0028
PEPTIDYLPROLYL-ISOMERASE-RXN	b3347
PEPTIDYLPROLYL-ISOMERASE-RXN	b0053
PEPTIDYLPROLYL-ISOMERASE-RXN	b0436
RXN0-7318	b1444
COBALAMIN5PSYN-RXN	b1992
RXN0-2941	b4345
RXN0-2941	b4346
RXN-16281	b2174
PHOSACETYLTRANS-RXN	b2297
PHOSACETYLTRANS-RXN	b2458
RXN0-7352	b2795
CYTIDEAM2-RXN	b2143
POLYPHOSPHATE-KINASE-RXN	b2501
PRPPAMIDOTRANS-RXN	b2312
SPERMACTRAN-RXN	b1584
DHBDEHYD-RXN	b0596
RXN0-4341	b3052
PYRROLINECARBDEHYDROG-RXN	b1014
SUPEROX-DISMUT-RXN	b3908
SUPEROX-DISMUT-RXN	b1656
SUPEROX-DISMUT-RXN	b1646
DIHYDROXYISOVALDEHYDRAT-RXN	b3771
RXN0-5057	b3621
RXN-17754	b4119
THREONINE-ALDOLASE-RXN	b0870
DTDPKIN-RXN	b2518
DTDPKIN-RXN	b0474
RXN0-5121	b3630
RXN-17790	b3846
RXN-17790	b2341
RIBULPEPIM-RXN	b0061
RIBULPEPIM-RXN	b3583
RIBULPEPIM-RXN	b4198
TREHALOSE6PSYN-RXN	b1896
RXN0-5185	b3715
RXN0-5185	b0383
RXN-17900	b2025
RXN-17900	b2023
RXN-11109	b1343
RXN-11109	b3780
UDP-NACMUR-ALA-LIG-RXN	b0091
FUCISOM-RXN	b2802
D-PPENTOMUT-RXN	b4383
RXN-17961	b4093
RXN-11576	b4371
URACIL-PRIBOSYLTRANS-RXN	b2498
GCVMULTI-RXN	b0116
GCVMULTI-RXN	b2903
GCVMULTI-RXN	b2904
GCVMULTI-RXN	b2905
RXN0-5295	b3721
RXN0-5295	b2901
RXN0-5295	b2716
2.1.1.34-RXN	b3651
RXN-18702	b2521
RXN-11638	b0082
XYLONATE-DEHYDRATASE-RXN	b4297
XYLONATE-DEHYDRATASE-RXN	b0269
GLUCOSAMINE-6-P-DEAMIN-RXN	b0678
RXN0-5393	b3846
RXN0-5393	b2341
RXN-19242	b0708
RXN-11841	b2745
GLUTDEHYD-RXN	b1761
GLUTDEHYD-RXN	b3213
GLUTDEHYD-RXN	b3212
RXN0-5461	b1511
3-HYDROXBUTYRYL-COA-DEHYDRATASE-RXN	b1387
GLYCOLATEDEHYDRO-RXN	b2978
GLYCOLATEDEHYDRO-RXN	b2978
GLYCOLATEDEHYDRO-RXN	b2979
3.1.22.4-RXN	b1861
3.1.22.4-RXN	b1860
3.1.22.4-RXN	b1863
RXN-19922	b1884
GSAAMINOTRANS-RXN	b0154
RXN0-6478	b1084
3.2.2.23-RXN	b3635
RXN-20426	b2159
RXN-20426	b1749
RXN-13854	b3365
RXN-13854	b3366
H2NTPEPIM-RXN	b2303
RXN-20708	b1012
5-FORMYL-THF-CYCLO-LIGASE-RXN	b2912
RXN-21024	b3503
RXN-14090	b2744
RXN-14090	b4213
RXN-14090	b0383
ISOCHORMAT-RXN	b0595
RXN0-6677	b1449
ACETALD-DEHYDROG-RXN	b2455
ACETALD-DEHYDROG-RXN	b1241
ACETALD-DEHYDROG-RXN	b0351
RXN-21304	b2159
RXN-14196	b0521
L-ASPARTATE-OXID-RXN	b2574
LXULRU5P-RXN	b4197
LXULRU5P-RXN	b3582
ADENYLATECYC-RXN	b3806
RXN-7948	b0383
MANNONDEHYDRAT-RXN	b4322
RXN0-7010	b3102
ALCOHOL-DEHYDROGENASE-NADPORNOP+-RXN	b3011
ALCOHOL-DEHYDROGENASE-NADPORNOP+-RXN	b0325
ALCOHOL-DEHYDROGENASE-NADPORNOP+-RXN	b4269
ALCOHOL-DEHYDROGENASE-NADPORNOP+-RXN	b0493
RXN-8667	b3942
RXN-14522	b4055
MHPCHYDROL-RXN	b0349
RXN0-7067	b1871
RXN-9772	b2574
NANE-RXN	b3223
RXN0-7115	b2812
ASPAMINOTRANS-RXN	b0928
RXN0-1602	b2954
RXN-15122	b3772
RXN-15122	b3117
O-SUCCINYLBENZOATE-COA-SYN-RXN	b2261
RXN0-7219	b0344
RXN-15298	b3881
RXN0-7280	b2212
CATAL-RXN	b1732
CATAL-RXN	b3942
CATAL-RXN	b3665
RXN-15878	b2515
PGLUCONDEHYDRAT-RXN	b1851
CPM-KDOSYNTH-RXN	b0918
RXN0-2945	b0123
RXN-16420	b0972
RXN-16420	b0973
RXN-16420	b0974
PHOSNACMURPENTATRANS-RXN	b0087
RXN0-742	b0522
D--TARTRATE-DEHYDRATASE-RXN	b4122
PPGPPSYN-RXN	b3650
S-ADENMETSYN-RXN	b2942
DEHYDDEOXPHOSGALACT-ALDOL-RXN	b3692
RXN0-3901	b1297
PSERTRANSAM-RXN	b0907
SUCCARGDIHYDRO-RXN	b1745
DIACYLGLYKIN-RXN	b4042
RXN0-4401	b3996
RXN-17632	b0424
RXN-17632	b3153
RXN-17632	b1967
PYRUVFORMLY-RXN	b3114
PYRUVFORMLY-RXN	b0903
TARTRATE-DEHYDROGENASE-RXN	b1800
DIOHBUTANONEPSYN-RXN	b3041
RXN-17777	b3846
RXN-17777	b2341
RHAMNULOKIN-RXN	b3904
DURIDKI-RXN	b1238
RXN0-5124	b3628
RXN-17793	b3846
RXN-17793	b2341
TRIPHOSPHATASE-RXN	b4226
TRIPHOSPHATASE-RXN	b3054
TRIPHOSPHATASE-RXN	b0383
F16BDEPHOS-RXN	b4232
F16BDEPHOS-RXN	b3925
F16BDEPHOS-RXN	b0766
F16BDEPHOS-RXN	b2930
F16BDEPHOS-RXN	b0383
RXN0-5189	b3549
RXN-11174	b1692
UDP-NACMURALGLDAPLIG-RXN	b0085
FUMHYDR-RXN	b1611
FUMHYDR-RXN	b4122
FUMHYDR-RXN	b1612
FUMHYDR-RXN	b1675
FUMHYDR-RXN	b2929
RXN0-5224	b0126
RXN0-5224	b0339
1.5.1.34-RXN	b0578
1.5.1.34-RXN	b2552
RXN-11588	b4180
URIDINEKIN-RXN	b2066
GDPMANDEHYDRA-RXN	b2053
RXN0-5304	b2804
RXN0-5304	b3748
2.1.1.79-RXN	b1661
RXN-18708	b0969
RXN-11776	b3057
2.7.7.13-RXN	b2049
RXN-11845	b3179
GLUTRNAREDUCT-RXN	b1210
3-NUCLEOTID-RXN	b4213
3-NUCLEOTID-RXN	b2744
3-NUCLEOTID-RXN	b4055
GLYOCARBOLIG-RXN	b0507
GSPSYN-RXN	b2988
RXN0-6481	b3643
RXN-12895	b1011
HCAMULTI-RXN	b2538
HCAMULTI-RXN	b2539
HCAMULTI-RXN	b2542
HCAMULTI-RXN	b2540
RXN0-6512	b1397
3.5.1.88-RXN	b3287
RXN-20757	b0503
HYDROXYLAMINE-REDUCTASE-RXN	b0873
RXN0-6550	b0159
5.1.3.20-RXN	b3619
RXN-21067	b4374
RXN-14113	b4213
ISOLEUCINE--TRNA-LIGASE-RXN	b0026
ACETOACETYL-COA-TRANSFER-RXN	b2221
ACETOACETYL-COA-TRANSFER-RXN	b2222
ACETOACETYL-COA-TRANSFER-RXN	b1694
RXN-21350	b3998
RXN-14251	b0452
L-LACTDEHYDROGFMN-RXN	b3605
RXN0-6950	b0948
ACYL-COA-HYDROLASE-RXN	b1253
ACYL-COA-HYDROLASE-RXN	b0452
RXN-6321	b2551
RXN-14363	b3955
LYSOPHOSPHOLIPASE-RXN	b0494
ADOMET-DMK-METHYLTRANSFER-RXN	b3833
MANNPDEHYDROG-RXN	b3600
RXN0-7014	b4093
ALDOSE1EPIM-RXN	b0756
RXN-14525	b4055
MMUM-RXN	b0261
RXN0-7075	b2371
AMP-NUCLEOSID-RXN	b1982
AMP-NUCLEOSID-RXN	b2795
ASPARTASE-RXN	b4139
RXN-15125	b2797
RXN-15125	b3117
RXN-15125	b1814
RXN-15125	b3111
OHBUTYRYL-COA-EPIM-RXN	b3846
OHBUTYRYL-COA-EPIM-RXN	b2341
BETA-GLUCURONID-RXN	b1617
RXN-15313	b3225
PABASYN-RXN	b3360
PABASYN-RXN	b1812
RXN0-7285	b2840
CDPKIN-RXN	b2518
CDPKIN-RXN	b0474
RXN0-2621	b4058
RXN0-2621	b1913
RXN0-2621	b0779
PGLYCEROLTRANSII-RXN	b4359
RXN0-301	b1059
RXN-16457	b3857
PHOSPHASERSYN-RXN	b2585
RXN0-901	b2868
RXN0-901	b2867
RXN0-901	b2866
DAHPSYN-RXN	b0754
DAHPSYN-RXN	b1704
DAHPSYN-RXN	b2601
RXN0-3381	b3713
RXN-16788	b0638
PREPHENATEDEHYDRAT-RXN	b2599
SAMDECARB-RXN	b0120
DEOXYGUANPHOSPHOR-RXN	b4384
RXN0-3942	b1298
RXN-17330	b0383
PTAALT-RXN	b2297
RXN0-4961	b0215
RXN0-4961	b0060
RXN0-4961	b3863
DIAMINOPIMEPIM-RXN	b3809
RXN0-4641	b2428
QUINATE-5-DEHYDROGENASE-RXN	b1692
TETRAACYLDISACC4KIN-RXN	b0915
DMK-RXN	b3930
RXN0-5074	b4394
RXN-17780	b3846
RXN-17780	b2341
RIBOFLAVIN-SYN-RXN	b1662
DXS-RXN	b0420
RXN0-5127	b3623
FCLREDUCT-RXN	b2052
1.1.1.127-RXN	b2842
RXN-17920	b3647
RXN-17920	b2411
RXN-11319	b3990
UDPGLUCEPIM-RXN	b0759
GALACTOACETYLTRAN-RXN	b0342
RXN0-5227	b1192
RXN0-5227	b2175
1TRANSKETO-RXN	b2935
1TRANSKETO-RXN	b2465
RXN-11592	b0636
UROGENIIISYN-RXN	b3804
GKI-RXN	b3124
GKI-RXN	b0514
2.4.1.230-RXN	b1316
RXN-18737	b2212
RXN-11813	b2431
GLURS-RXN	b2400
RXN0-5409	b2256
2.7.8.25-RXN	b0613
RXN-19311	b3821
RXN-19311	b3825
RXN-11866	b2532
GLYC3PDEHYDROGBIOSYN-RXN	b3608
RXN0-6254	b2877
3.1.11.1-RXN	b2011
3.1.11.1-RXN	b3841
3.1.11.1-RXN	b3155
3.1.11.1-RXN	b2949
RXN-19630	b3538
RXN-12444	b0937
GLYOXII-RXN	b0212
GLYOXII-RXN	b2154
GLYOXII-RXN	b0927
RXN0-6427	b3650
RXN-20023	b0585
RXN-12752	b4167
GTP-CYCLOHYDRO-II-RXN	b1277
RXN0-6484	b1652
RXN0-6484	b1804
RXN-20478	b1633
RXN-13141	b4167
HISTALDEHYD-RXN	b2020
HISTIDINE--TRNA-LIGASE-RXN	b2514
325-BISPHOSPHATE-NUCLEOTIDASE-RXN	b4214
RXN-14002	b0099
IGPSYN-RXN	b1262
RXN-21179	b2583
RXN-14124	b4213
KDO-8PPHOSPHAT-RXN	b3198
RXN0-6722	b1412
ACETOOHBUTREDUCTOISOM-RXN	b3774
RXN-14261	b3416
LACTALDREDUCT-RXN	b2799
ACYLPHOSPHATASE-RXN	b0968
RXN-7253	b2533
RXN-14393	b3846
RXN-14393	b2341
MALATE-DEH-RXN	b3236
AICARSYN-RXN	b1131
RXN-8344	b0009
METBALT-RXN	b3939
RXN0-7022	b4233
ALLANTOINASE-RXN	b0512
RXN-8992	b3187
SHIKIMATE-KINASE-RXN	b0388
SHIKIMATE-KINASE-RXN	b3390
RXN-14569	b3282
N-ACETYLTRANSFER-RXN	b2818
RXN0-1863	b2253
ANTHRANSYN-RXN	b1263
ANTHRANSYN-RXN	b1264
RXN0-1081	b2559
NICOTINAMID-RXN	b1768
RXN0-7154	b3011
ASPARTATEKIN-RXN	b0002
ASPARTATEKIN-RXN	b3940
ASPARTATEKIN-RXN	b4024
RXN-15131	b3008
RXN-15131	b1622
ORNCARBAMTRANSFER-RXN	b4254
ORNCARBAMTRANSFER-RXN	b0273
BETAGALACTOSID-RXN	b0344
RXN0-2201	b1539
PANTOATE-BETA-ALANINE-LIG-RXN	b0133
RXN0-268	b2920
RXN-16000	b1539
PHENPRODIOLDEHYDROG-RXN	b2541
RXN0-7342	b2054
CTPSYN-RXN	b2780
RXN0-304	b4085
RXN-16650	b3208
RXN-16650	b2519
RXN-16650	b0149
RXN-16650	b3396
PHOSPHOGLUCMUT-RXN	b0688
RXN0-963	b3371
RXN-17700	b3878
DARAB5PISOM-RXN	b3197
DARAB5PISOM-RXN	b2708
RXN0-3542	b1134
RXN-17355	b2416
SERINE--TRNA-LIGASE-RXN	b0893
RXN0-4121	b1103
RXN-17393	b1097
PYRAZIN-RXN	b1768
SUCCINYLDIAMINOPIMTRANS-RXN	b3359
SUCCINYLDIAMINOPIMTRANS-RXN	b0907
RXN0-5001	b3656
RXN-17701	b3878
R15-RXN	b0600
THIAZOLSYN3-RXN	b2104
RXN-17783	b0221
RIBOFLAVINSYNREDUC-RXN	b0414
RXN-17798	b3846
RXN-17798	b2341
ENTDB-RXN	b0583
RXN0-5141	b0207
RXN-17799	b3845
RXN-17799	b2342
RXN-10814	b4054
RXN-10814	b0928
RXN-10814	b3770
TRNA-URACIL-5--METHYLTRANSFERASE-RXN	b3965
FMNREDUCT-RXN	b3844
RXN0-5208	b4129
RXN0-5208	b0594
1.1.1.251-RXN	b2091
RXN-17935	b3421
CHD-RXN	b0311
RXN-11397	b0099
UDPMANNACADEHYDROG-RXN	b3787
RXN0-5234	b2551
RXN-15761	b4083
2-METHYLCITRATE-DEHYDRATASE-RXN	b0334
RXN-18376	b1802
RXN-18376	b1803
RXN-11598	b2946
URUR-RXN	b0515
RXN0-1147	b0727
GLUC1PADENYLTRANS-RXN	b3430
RXN-11834	b1135
GLUTAMINE--TRNA-LIGASE-RXN	b0680
RXN0-5414	b1023
2.9.1.1-RXN	b3591
RXN-12070	b0349
GLYCEROL-2-PHOSPHATASE-RXN	b2533
GLYCEROL-2-PHOSPHATASE-RXN	b0383
RXN-19776	b3518
RXN-12480	b2575
GLYRIBONUCSYN-RXN	b4005
3.1.3.74-RXN	b0766
3.1.3.74-RXN	b3826
3.1.3.74-RXN	b0446
3.1.3.74-RXN	b0383
RXN-20056	b1185
RXN-12816	b0099
GUANOSINE-DIPHOSPHATASE-RXN	b1134
RXN-13202	b0032
RXN-13202	b0033
RXN-13418	b0935
HISTPRATPHYD-RXN	b2026
4-NITROPHENYLPHOSPHATASE-RXN	b0383
4-NITROPHENYLPHOSPHATASE-RXN	b0480
RXN-20915	b0622
RXN-14025	b0383
IMPCYCLOHYDROLASE-RXN	b4006
RXN0-6563	b0870
RXN-21236	b2212
RXN-14139	b3248
KDOTRANS2-RXN	b3633
RXN0-6727	b4167
ACETYLESTERASE-RXN	b0476
LEUCINE--TRNA-LIGASE-RXN	b0642
ADENINE-DEAMINASE-RXN	b3665
RXN-7607	b3399
RXN-7607	b0383
MALIC-NADP-RXN	b2463
RXN0-6999	b4155
AKBLIG-RXN	b3617
RXN-14510	b0383
METHIONINE--TRNA-LIGASE-RXN	b2114
RXN0-703	b3575
ALPHAGALACTOSID-RXN	b4119
RXN-9310	b2263
NAD-SYNTH-GLN-RXN	b1740
RXN0-7090	b1128
ARGDECARBOX-RXN	b2938
ARGDECARBOX-RXN	b4117
RXN0-1321	b0406
RXN-14960	b3070
RXN-15147	b3939
OROTPDECARB-RXN	b1281
RXN0-7250	b0383
BRANCHED-CHAINAMINOTRANSFERLEU-RXN	b3770
BRANCHED-CHAINAMINOTRANSFERLEU-RXN	b4054
RXN0-2361	b4233
RXN-15513	b0755
PEPCARBOX-RXN	b3956
RXN0-7309	b3034
RXN0-7309	b1134
CHORPYRLY-RXN	b4039
RXN-16009	b1266
PHENYLSERINE-ALDOLASE-RXN	b0870
RXN0-7345	b2058
CYSTEINE--TRNA-LIGASE-RXN	b0526
RXN0-310	b2919
RXN-16664	b0925
PNKIN-RXN	b2418
RXN1-42	b1440
DARABKIN-RXN	b2803
RXN0-361	b0651
RXN0-361	b2162
RXN0-361	b0030
DETHIOBIOTIN-SYN-RXN	b0778
RXN-17489	b0980
PYRIMSYN1-RXN	b3994
SUGAR-PHOSPHATASE-RXN	b0822
SUGAR-PHOSPHATASE-RXN	b2293
SUGAR-PHOSPHATASE-RXN	b3697
SUGAR-PHOSPHATASE-RXN	b3826
SUGAR-PHOSPHATASE-RXN	b0383
DIHYDROFOLATESYNTH-RXN	b2315
RXN-17726	b0344
R303-RXN	b0851
THIOSULFATE-SULFURTRANSFERASE-RXN	b3425
THIOSULFATE-SULFURTRANSFERASE-RXN	b1308
THIOSULFATE-SULFURTRANSFERASE-RXN	b2521
THIOSULFATE-SULFURTRANSFERASE-RXN	b2668
DTDPDEHYDRHAMEPIM-RXN	b2038
RXN0-5114	b4388
RXN0-5114	b4055
RXN0-5114	b0383
RXN-17786	b3846
RXN-17786	b2341
RIBOSYLHOMOCYSTEINASE-RXN	b2687
TRANSALDOL-RXN	b0008
TRANSALDOL-RXN	b2464
RXN0-5181	b3571
RXN-10856	b3058
TRYPTOPHAN-RXN	b3708
FORMYLTHFGLUSYNTH-RXN	b2315
RXN0-5213	b1771
RXN-17954	b4099
RXN-17954	b4101
RXN-17954	b4100
RXN-17954	b4096
RXN-11475	b0777
UDPSUGARHYDRO-RXN	b0480
GALPMUT-RXN	b2036
RXN0-5289	b0509
2-OCTAPRENYL-6-OHPHENOL-METHY-RXN	b2232
RXN-18435	b3635
RXN-11602	b0967
VALINE-PYRUVATE-AMINOTRANSFER-RXN	b3572
GLUCOKIN-RXN	b2388
RXN0-5383	b2174
2.6.1.7-RXN	b0928
RXN-11837	b2594
GLUTATHIONE-REDUCT-NADPH-RXN	b3500
ACONITATEDEHYDR-RXN	b1276
ACONITATEDEHYDR-RXN	b0118
RXN0-5433	b2245
2TRANSKETO-RXN	b2465
2TRANSKETO-RXN	b2935
RXN-19343	b1270
RXN-12073	b0348
GLYCOGEN-BRANCH-RXN	b3432
GMP-SYN-GLUT-RXN	b2507
RXN0-6460	b1011
3.2.1.21-RXN	b2132
GUANYL-KIN-RXN	b3648
RXN-20682	b1315
RXN-13548	b3136
RXN-20919	b0622
RXN-14064	b4213
